epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,3652.78,1.71993,1.8268,1.75647,0.533,0.57616,0.52164,0.27933,1.78006,1.72606,1.65622,0.0005248,0.0005248,0.0005248
74,3702.67,1.74197,1.87052,1.76694,0.53493,0.53457,0.51841,0.27056,1.82207,1.74395,1.67503,0.0005182,0.0005182,0.0005182
75,3752.41,1.72477,1.84959,1.75487,0.51953,0.58738,0.54217,0.28994,1.75788,1.7036,1.64114,0.0005116,0.0005116,0.0005116
76,3802.5,1.74331,1.83243,1.7556,0.55192,0.54079,0.52402,0.27532,1.81987,1.7606,1.6645,0.000505,0.000505,0.000505
77,3852.54,1.71972,1.82739,1.7297,0.54255,0.5483,0.5321,0.28589,1.78202,1.73238,1.65316,0.0004984,0.0004984,0.0004984
78,3902.15,1.73167,1.82331,1.74959,0.51409,0.58729,0.53559,0.28068,1.80525,1.69922,1.64901,0.0004918,0.0004918,0.0004918
79,3952.11,1.71724,1.80069,1.73013,0.53954,0.55935,0.50842,0.27065,1.79575,1.71768,1.65677,0.0004852,0.0004852,0.0004852
80,4001.99,1.71407,1.80265,1.71496,0.54895,0.5938,0.56539,0.30436,1.7496,1.62391,1.63717,0.0004786,0.0004786,0.0004786
81,4051.97,1.70498,1.76933,1.73654,0.56663,0.59529,0.55503,0.3079,1.71118,1.70563,1.62846,0.000472,0.000472,0.000472
82,4102.19,1.67744,1.81102,1.73141,0.57383,0.57682,0.56032,0.29966,1.75667,1.6564,1.65077,0.0004654,0.0004654,0.0004654
83,4152.18,1.67532,1.72479,1.72962,0.62332,0.57685,0.57333,0.30929,1.7306,1.58402,1.61186,0.0004588,0.0004588,0.0004588
84,4202.3,1.69759,1.75192,1.71832,0.58805,0.58196,0.56995,0.30189,1.75018,1.61562,1.62312,0.0004522,0.0004522,0.0004522
85,4251.99,1.70016,1.74728,1.72823,0.61402,0.58169,0.57484,0.30269,1.76207,1.62011,1.63058,0.0004456,0.0004456,0.0004456
86,4301.8,1.67304,1.73892,1.70936,0.56622,0.61129,0.56106,0.29264,1.77769,1.6566,1.63116,0.000439,0.000439,0.000439
87,4351.73,1.68131,1.72747,1.70848,0.59552,0.60516,0.5817,0.31801,1.69994,1.62354,1.60359,0.0004324,0.0004324,0.0004324
88,4401.8,1.67835,1.72973,1.70926,0.60413,0.55924,0.57768,0.30919,1.74574,1.61232,1.61555,0.0004258,0.0004258,0.0004258
89,4451.84,1.64793,1.72073,1.69372,0.58559,0.61925,0.58715,0.32617,1.66461,1.54284,1.56426,0.0004192,0.0004192,0.0004192
90,4501.72,1.65744,1.71347,1.69608,0.62028,0.56798,0.59269,0.32971,1.66661,1.55149,1.55851,0.0004126,0.0004126,0.0004126
91,4551.67,1.63714,1.71138,1.67728,0.63502,0.6021,0.61188,0.35004,1.65365,1.52046,1.5566,0.000406,0.000406,0.000406
92,4601.62,1.64803,1.7303,1.69537,0.62776,0.56203,0.60455,0.3417,1.65899,1.54259,1.5512,0.0003994,0.0003994,0.0003994
93,4651.58,1.64455,1.70019,1.67844,0.62627,0.59436,0.60716,0.34345,1.66213,1.49622,1.54366,0.0003928,0.0003928,0.0003928
94,4701.48,1.6086,1.65877,1.67289,0.63528,0.61035,0.61806,0.34975,1.66556,1.4898,1.55651,0.0003862,0.0003862,0.0003862
